"cell_id","umap_x","umap_y","tissue_x","tissue_y","cluster","color_hex"
"blkpkgbp-1",-7.732314533499,1.39012957052786,8511.0244140625,-8512.4560546875,"Epi_SecA","#E69F00"
"blkplgih-1",5.29222207615065,-4.79927360577982,8510.2919921875,-8356.5224609375,"T cell","#1C91D4"
"blkpmjad-1",-7.03682846477342,-0.143289751694615,8501.7890625,-8391.65625,"Epi_SecA","#E69F00"
"bllaaaid-1",-4.86962837627244,-1.78280829949778,8502.892578125,-8375.69140625,"Epi_SecA","#E69F00"
"bllabfkc-1",-4.07113260677171,-1.88623153729838,8516.3857421875,-8372.6201171875,"Epi_SecA","#E69F00"
"bllandcp-1",-5.70437426021409,-0.378003980354484,8510.0908203125,-8371.3642578125,"Epi_SecA","#E69F00"
"bllapfmf-1",-4.44863218715501,3.09889162020284,8485.09375,-8491.2607421875,"Epi_SecA","#E69F00"
"bllbgiic-1",-6.76061815669847,-0.773669953779395,8466.1005859375,-8504.25,"Epi_SecA","#E69F00"
"bllbkeph-1",-5.48185724666429,-2.11646306081217,8467.3935546875,-8517.8671875,"Epi_SecA","#E69F00"
"bllboink-1",-5.65419907024217,-2.10075366063517,8461.7548828125,-8524.275390625,"Epi_SecA","#E69F00"
"bllbplid-1",-5.16427368572068,-1.57014655633372,8475.400390625,-8507.3916015625,"Epi_SecA","#E69F00"
"bllcalfj-1",-5.42758984020066,-0.636105771497901,8474.3701171875,-8497.42578125,"Epi_SecA","#E69F00"
"bllcepjf-1",-6.547415680197,-0.255941267446692,8469.640625,-8491.9208984375,"Epi_SecA","#E69F00"
"bllcfhjm-1",-4.97047514369798,-1.24836301370066,8479.19140625,-8372.5712890625,"Epi_SecA","#E69F00"
"bllciibe-1",-5.31247276714158,-1.37247192426127,8485.7607421875,-8374.5966796875,"Epi_SecA","#E69F00"
"bllclbpi-1",-6.38719362666917,-2.14096438451212,8473.1357421875,-8369.0537109375,"Epi_SecA","#E69F00"
"bllcljpd-1",-3.87980074336839,-2.74856960339945,8459.5869140625,-8310.671875,"Epi_SecA","#E69F00"
"bllcobil-1",-6.05595440318895,-0.0821179955686287,8467.1328125,-8326.8330078125,"Epi_SecA","#E69F00"
"blldchbn-1",4.97079043934035,-4.94627153439921,8487.66015625,-8324.0166015625,"T cell","#1C91D4"
"blldclho-1",3.31469469616103,-5.20252954526346,8467.5205078125,-8318.734375,"Mesenchymal","#F0E442"
"blldedmf-1",-3.65466112544847,3.00057089762289,8472.1240234375,-8330.572265625,"Epi_SecA","#E69F00"
"blldfnkn-1",-6.09304756572557,-0.357106681303199,8477.5419921875,-8338.626953125,"Epi_SecA","#E69F00"
"blldiodb-1",-5.62577242305589,-0.851277704672034,8467.224609375,-8336.884765625,"Epi_SecA","#E69F00"
"blldncee-1",-5.4331201975615,-4.11443340344828,8455.3603515625,-8360.0810546875,"Epi_SecA","#E69F00"
"blldnden-1",-6.59235424449754,0.254300479455773,8491.228515625,-8360.841796875,"Epi_SecA","#E69F00"
"blldnekf-1",-6.9589900439055,0.461663012071435,8467.2607421875,-8356.392578125,"Epi_SecA","#E69F00"
"blldopjc-1",-6.06129211833787,0.0762541188438578,8460.4208984375,-8354.05078125,"Epi_SecA","#E69F00"
"bllecenc-1",-5.77320188930345,-1.74305367036265,8523.595703125,-8549.9111328125,"Epi_SecB","#56B4E9"
"bllecpdn-1",-7.96666092326951,0.8269491239031,8548.4033203125,-8571.3671875,"Epi_SecA","#E69F00"
"blledbig-1",-7.4832033579619,1.93559873537618,8548.177734375,-8562.0439453125,"Epi_SecA","#E69F00"
"blledjjc-1",-5.36248297145677,2.80232227282125,8531.876953125,-8524.0703125,"Epi_SecA","#E69F00"
"blleekbi-1",-7.58543533733201,-0.11048235310715,8540.03125,-8554.3740234375,"Epi_SecA","#E69F00"
"blleiccj-1",-6.80567163875413,0.761253361268823,8526.6220703125,-8527.33203125,"Epi_SecA","#E69F00"
"bllemmed-1",-8.31701225688768,1.10411251024801,8550.638671875,-8590.3564453125,"Epi_SecA","#E69F00"
"blleoppo-1",-7.99265617778611,1.42064369158346,8562.5,-8584.810546875,"Epi_SecA","#E69F00"
"bllfbcaa-1",-6.94923967769456,1.36296678022939,8551.0341796875,-8579.8671875,"Epi_SecA","#E69F00"
"bllfeiab-1",-8.78767342021775,1.26344883875448,8539.3662109375,-8600.1640625,"Epi_SecA","#E69F00"
"bllffdmn-1",-8.05930084636521,0.832167748971765,8547.9580078125,-8607.4326171875,"Epi_SecA","#E69F00"
"bllfffmj-1",-7.71269077709031,1.515835289522,8561.3935546875,-8602.826171875,"Epi_SecA","#E69F00"
"bllgghoj-1",-8.01770348003221,1.04382300810415,8529.9482421875,-8619.2548828125,"Epi_SecA","#E69F00"
"bllghhpd-1",-8.407119220999,2.40862405733663,8527.4619140625,-8638.39453125,"Epi_SecA","#E69F00"
"bllghmga-1",-8.02997536113572,1.41924584345419,8538.0126953125,-8615.5517578125,"Epi_SecA","#E69F00"
"bllgiagb-1",-8.12471050670457,1.4451211734255,8550.2421875,-8638.07421875,"Epi_SecA","#E69F00"
"bllgjbjk-1",-7.62477535655809,1.737239961191,8552.443359375,-8655.62109375,"Epi_SecA","#E69F00"
"bllgjplh-1",-7.63920254161668,1.41773033575613,8550.28125,-8649.5771484375,"Epi_SecA","#E69F00"
"bllgkcfi-1",-7.44964165141893,2.56270611719686,8556.873046875,-8645.1064453125,"Epi_SecA","#E69F00"
"bllgljmc-1",-8.47523350169969,1.44711626009542,8537.1337890625,-8642.8193359375,"Epi_SecA","#E69F00"
"bllgmfla-1",-7.49428219249559,2.37878668741781,8556.0244140625,-8637.3466796875,"Epi_SecA","#E69F00"
"bllgpcim-1",-8.40241569927049,0.690449778600518,8549.6416015625,-8614.9033203125,"Epi_SecA","#E69F00"
"bllhahmf-1",-7.14761633327317,2.63423788981039,8562.0390625,-8632.8515625,"Epi_SecA","#E69F00"
"bllhdbbj-1",-7.94186157634568,2.18596804575521,8557.115234375,-8628.146484375,"Epi_SecA","#E69F00"
"bllhdljn-1",-8.2740272944243,1.71298993067342,8558.56640625,-8618.572265625,"Epi_SecA","#E69F00"
"blljhnbe-1",-3.15080446651292,-2.87965452237528,8598.494140625,-8307.37890625,"Epi_SecB","#56B4E9"
"blljlkha-1",-5.08722967555833,-1.18046831651133,8588.6474609375,-8334.8994140625,"Epi_SecA","#E69F00"
"blljmken-1",-4.61641067912889,-1.36525940461558,8591.90234375,-8328.2060546875,"Epi_SecA","#E69F00"
"blljnjif-1",-4.26142925670457,-2.09424387975138,8593.03515625,-8320.173828125,"Epi_SecA","#E69F00"
"blljofmf-1",-4.54866785457444,-1.10688268704813,8588.0146484375,-8313.130859375,"Epi_SecA","#E69F00"
"bllkaiif-1",-4.00816339900804,-1.90686749978464,8557.22265625,-8365.1279296875,"Epi_SecA","#E69F00"
"bllkbfai-1",3.49290924617934,-5.27326643033427,8560.0068359375,-8358.552734375,"Epi_SecA","#E69F00"
